Designator,Mid X,Mid Y,Rotation,Layer
DO79,145.8,-121.9325,270.0,bottom
DO8,73.8,-130.93375,270.0,bottom
DO80,145.8,-130.93375,270.0,bottom
DO81,145.8,-139.935,270.0,bottom
DO82,154.8,-67.925,270.0,bottom
DO83,154.8,-76.92625,270.0,bottom
DO84,154.8,-85.9275,270.0,bottom
DO85,154.8,-94.92875,270.0,bottom
DO86,154.8,-103.93,270.0,bottom
DO87,154.8,-112.93125,270.0,bottom
DO88,154.8,-121.9325,270.0,bottom
DO89,154.8,-130.93375,270.0,bottom
DO9,73.8,-139.935,270.0,bottom
DO90,154.8,-139.935,270.0,bottom
DO91,163.8,-67.925,270.0,bottom
DO92,163.8,-76.92625,270.0,bottom
DO93,163.8,-85.9275,270.0,bottom
DO94,163.8,-94.92875,270.0,bottom
DO95,163.8,-103.93,270.0,bottom
DO96,163.8,-112.93125,270.0,bottom
DO97,163.8,-121.9325,270.0,bottom
DO98,163.8,-130.93375,270.0,bottom
DO99,163.8,-139.935,270.0,bottom
F1,77.5,-178.0,180.0,top
J1,65.0325,-175.82,180.0,top
J2,89.915,-163.05,90.0,top
J3,134.155,-163.05,90.0,top
J4,78.05,-188.2,0.0,top
J5,62.95,-159.3,90.0,top
L1,78.4,-180.716499,90.0,top
L2,89.134499,-175.3335,180.0,top
L3,89.1625,-172.5395,180.0,top
PWR1,61.15,-187.3,90.0,top
Q1,77.15,-167.4625,270.0,bottom
Q2,80.8,-167.45,90.0,bottom
R1,70.461,-181.25,270.0,bottom
R10,90.593,-181.366,0.0,top
R11,100.0,-157.6,270.0,top
R12,97.8,-166.9,90.0,top
R13,87.35,-160.0,270.0,bottom
R14,72.4,-159.35,270.0,top
R15,86.35,-156.15,0.0,bottom
R16,75.4,-160.75,0.0,top
R17,77.6,-166.15,0.0,top
R18,60.35,-150.4,90.0,top
R19,77.65,-161.85,180.0,bottom
R2,92.133,-173.5715,90.0,top
R20,77.6,-168.35,0.0,top
R21,77.65,-163.75,180.0,bottom
R22,101.55,-173.35,90.0,top
R23,68.2,-164.75,270.0,bottom
R3,77.2,-175.2,180.0,top
R4,77.2,-172.8,180.0,top
R5,84.783,-174.762,0.0,top
R6,95.6255,-184.2395,90.0,top
R7,58.9,-187.3,270.0,top
R8,87.4975,-185.922,270.0,top
R9,91.387,-187.1445,180.0,top
SW1,104.5775,-181.5725,270.0,top
TVS1,69.61,-171.55,90.0,bottom
TVS2,71.61,-171.55,90.0,bottom
U1,89.7835,-174.0,90.0,bottom
U2,91.037,-184.2895,0.0,top
U3,105.75,-160.733333,180.0,top
U4,91.266667,-155.0,270.0,top
U5,78.420833,-155.0125,270.0,top
Y1,83.620978,-180.346978,315.0,top
